Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Naujamiesčio seniūnija,17 paslaugų kategorija BVPŽ kodas 55241000-1,171,2012-08-16 sutartis Nr. A64-126(3.10.22-FN4) Lietuvos pagyvenusių žmonių asociacija,8750,Tradicinių švenčių (vakaronių) Naujamiesčio bendruomenei organizavimas,"Lietuvos pagyvenusių žmonių asociacija (LŽPA), Vilnaius miesto Vyresniojo amžiaus žmonių asociacija, Vilniaus pagyvenusių žmonių asociacija"
Naujamiesčio seniūnija,17 paslaugų kategorija BVPŽ kodas 55243000-5,172,2012-08-16 sutartis Nr. A64-123(3.10.22-FN4) Lietuvos pagyvenusių žmonių asociacija,4963,Sunkiai auklėjamų Naujamiesčio bendruomenės vaikų futbolo varžybos,"Lietuvos pagyvenusių žmonių asociacija (LŽPA), Vilnaius miesto Vyresniojo amžiaus žmonių asociacija, Vilniaus pagyvenusių žmonių asociacija"
Naujamiesčio seniūnija,25 paslaugų kategorija BVPŽ kodas 85320000-8,173,2012-08-16 sutartis Nr. A64-125(3.10.22-FN4) Vilniaus miesto Vyresniojo amžiaus žmonių asociacija,7000,Pagalba vienišiems ir į krizinę situaciją patekusiems bendruomenės nariams,"Lietuvos našlaičių brolija, Vilniaus miesto Vyresniojo amžiaus žmonių asociacija, Visuomeninė organizacija ""BRANDA"""
Naujamiesčio seniūnija,20 paslaugų kategorija BVPŽ kodas 63500000-4,174,"2012-08-22 sutartis Nr. A64-131(3.10.22-FN4) UAB ""Kelionių laikas""",4 700,Edukacinės sveikatingumo išvykos,"UAB ""Kelionių laikas"", UAB ""Estravel Vilnius"", UAB ""Vildora"""
Naujamiesčio seniūnija,20 paslaugų kategorija BVPŽ kodas 63500000-4,175,"2012-08-22 sutartis Nr. A64-130(3.10.22-FN4) UAB ""Kelionių laikas""",5 160,Mažoji konferencija Telšiuose „Ką reiškia nugalėti blogį gerumu“,"UAB ""Kelionių laikas"", UAB ""Estravel Vilnius"", UAB ""Vildora"""
Aprūpinimo ir transporto skyrius,"BVPŽ kodas 39130000-2, 39141000-2 ",176,"2012-10-03 sutartis Nr. A68-28 (3.10.23-FN4) UAB ""Kedžių studija""",9909.9,"Biuro baldai, virtuvės baldai ir įrenginiai","UAB ""Kėdžių studija"", UAB "" Fishelson"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 39113200-9,177,"2012-10-02 sutartis Nr. A68-27 (3.10.23-FN4) UAB ""Fishelson""",24200,Minkštasuoliai,"UAB ""Kedžių studija"", UAB ""Fishelson"""
Antakalnio seniūnija,13 paslaugų kategorija BVPŽ kodas 79341000-6,178,"NEĮVYKO, pakeistas į 359",,Reklaminių plotų nuoma,
Panerių seniūnija,BVPŽ kodas 45420000-7,179,"2012-09-26 sutartis Nr. A62-119 (3.10.21-FN4) UAB ""Stebulė""",1270.5,Seimo rinkimų apylinkių įrengimo darbai,"UAB ""Stebulė"", UAB ""Naujininkų ūkis"", UAB ""Lentvario komunalinis ūkis"""
Panerių seniūnija,BVPŽ kodas 45236290-9                                                                      ,180,"2012-09-10 sutartis Nr. A62-97 (3.10.21-FN4) UAB ""Vokės technika""",17000,"Naujasodžio (Kazbėjų), Daniliškių ir Liudvinavo (Gurelių) gyventojų rekreacinių ir poilsio zonų  sukūrimas, sutvarkymo darbai. Daniliškių vaikų žaidimų aikštelės perkėlimo darbai","UAB ""Gevalda"", UAB ""Megadonas"", UAB ""Vokės technika"", UAB ""Stvima"""
Panerių seniūnija,BVPŽ kodas 45421100-5,181,"2012-11-30 sutartis Nr. A62-159 (3.10.21-FN4) UAB ""Lanreta""",2996,Trakų Vokės koplyčios vidinių langų bei susijusių elementų montavimas,"UAB ""Lanreta"", UAB ""Langų dizainas"", A. Fomino įmonė ""Budemus"""
Naujininkų seniūnija,BVPŽ kodas 45212221-1,182,"2012-09-24 sutartis Nr. A62-110 (3.10.21-FN4) UAB ""Stebulė""",13057.11,"Sporto aikštelių su įrenginiais ir statiniais statyba Konduktorių, Eišiškių pl. 66, Darbininkų gatvėse","UAB ""Trajana"", UAB ""Grinda"", UAB ""Kerista"", UAB ""Gerbūvio darbai"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45212100-7,183,"2012-09-24 sutartis Nr. A62-112 (3.10.21-FN4) UAB ""Trajana""",18336.34,Aikštelių su laisvalaikio ir sporto elementais statybos darbai Sakalaičių ir Rudaminos gatvėse,"UAB ""Trajana"", UAB ""Grinda"", UAB ""Kerista"", UAB ""Gerbūvio darbai"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45212140-9,184,"2012-09-24 sutartis Nr. A62-116 (3.10.21-FN4) UAB ""Stebulė""",19591.11,"Aikštelių su įrenginiais, skirtais poilsiui, rekreacijai, sportui statyba Šaltkalvių ir Eišiškių pl. 26 gatvėse","UAB ""Trajana"", UAB ""Grinda"", UAB ""Kerista"", UAB ""Gerbūvio darbai"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45212221-1,185,"2012-09-24 sutartis Nr. A62-113 (3.10.21-FN4) UAB ""Metalo sprendimai""",19483.42,"Sporto aikštelių su įrenginiais ir statiniais statyba Dzūkų, Vaikų gatvėse","UAB ""Trajana"", UAB ""Grinda"", UAB ""Kerista"", UAB ""Metalo sprendimai"", UAB ""Lentvario komunalinis ūkis"""
Naujininkų seniūnija,BVPŽ kodas 45212140-9,186,"2012-09-24 sutartis Nr. A62-115 (3.10.21-FN4) UAB ""Metalo sprendimai""",14883,"Aikštelių su įrenginiais, skirtais poilsiui, rekreacijai, sportui statyba Kaminkelio, Gervėbalės, Metalo gatvėse","UAB ""Trajana"", UAB ""Grinda"", UAB ""Kerista"", UAB ""Metalo sprendimai"", UAB ""Lentvario komunalinis ūkis"""
Naujininkų seniūnija,BVPŽ kodas 45212221-1,187,"2012-09-24 sutartis Nr. A62-114 (3.10.21-FN4) UAB ""Metalo sprendimai""",19194.23,"Sporto aikštelių su įrenginiais ir statiniais statyba Užusienio, Mechanikų, Rodūnios kelias gatvėse","UAB ""Trajana"", UAB ""Grinda"", UAB ""Kerista"", UAB ""Metalo sprendimai"", UAB ""Lentvario komunalinis ūkis"""
Naujininkų seniūnija,BVPŽ kodas 45212100-7,188,"2012-09-24 sutartis Nr. 111 (3.10.21-FN4) UAB ""Stabulė""",14389.32,Aikštelių su laisvalaikio ir sporto elementais statybos darbai Pelesos ir Katros gatvėse,"UAB ""Trajana"", UAB ""Grinda"", UAB ""Kerista"", UAB ""Gerbūvio darbai"", UAB ""Stebulė"""
Žvėryno seniūnija,BVPŽ kodas 45233200-1,189,"2012-08-16 sutartis Nr. A62-63(3.10.21-FN4) UAB ""Stebulė""",9982.5,Žvėryno gimnazijos sporto aikštelės  (stadiono dangos) remontas,"UAB ""Stebulė"", UAB ""Grinda"", UAB ""Kerista"""
Naujamiesčio seniūnija,BVPŽ kodas 45236119-7,190,"2012-09-10 sutartis Nr. A62-96 (3.10.25-FN4) UAB ""Stebulė""",17992.7,Naujamiesčio vaikų žaidimo ir sporto aikštelių renovavimas,"UAB ""Stebulė"", UAB ""Kerista"", UAB ""Grinda"""
Naujamiesčio seniūnija,BVPŽ kodas 18530000-3,191,"2012-08-22 sutartis Nr. A68-23 (3.10.23-FN4) UAB ""Alpera""",9 922,Naujamiesčio bendruomenės gyventojo garbės vardo suteikimas (medaliai),"UAB ""Alpera"", UAB ""Juvelyrikos oazė"", UAB ""Multipex"""
"Švietimo, kultūros ir sporto departamento Kultūros syrius",8 paslaugų kategorija BVPŽ kodas 73000000-2(4),192,2012-09-11 sutartis Nr. A64-143 (3.10.22-KS) Rasius Makselis,9800,ES projekto “Kūrybinės inovacijos” tyrimo konsultantas,"Saulius Jovaišas Nepriklausomas konsultantas, Eglė Januškevičiūtė VšĮ ""Bendruomenių santykių konsultantai"", Rasius Makselis Nepriklausommas konsultantas"
Naujamiesčio seniūnija,25 paslaugų kategorija BVPŽ kodas 85320000-8,193,"2012-08-16 sutartis Nr. A64-124(3.10.22-FN4) Laisvosios nardymo ir povandeninės žūklės asociacija ""Vienu įkvėpimu""",9950,Naujamiesčio bendruomenės socialiai remtinų senyvo amžiaus žmonių socialinio užimtumo paslaugos  (plaukimo treniruotės),"Laisvosios nardymo ir povandeninės žūklės asociacija ""Vienu įkvėpimu"", UAB ""DIVER.LT"", Povandeninės medžioklės klubas ""Nasrai"""
Justiniškių seniūnija,BVPŽ kodas 45236119-7,194,"2012-09-03 sutartis Nr. 62-76 (3.10.21-FN4) UAB ""StatVilsta""",12819.95,Sporto aikštelių inventoriaus remonto  darbai,"UAB ""Tavastis"", UAB ""StatVilsta"" UAB ""Rugosa"""
Justiniškių seniūnija,BVPŽ kodas 45233200-1,195,"2012-09-03 sutartis Nr. A62-77 (3.10.21-FN4) UAB ""Trinka""",19995.25,Kiemų asfaltavimo darbai,"IĮ E.Michnevič, UAB ""Trinka"", UAB ""Narco statyba"""
Justiniškių seniūnija,BVPŽ kodas 45223300-9,196,"2012-09-03 sutartis Nr. A62-78 (3.10.21-FN4) UAB ""Narco statyba""",13999.7,Automobių stovėjimo aikštelės įrengimas,"UAB ""Volmira"", IĮ E.Michnevič, UAB ""Narco statyba"""
Justiniškių seniūnija,BVPŽ kodas 45312200-9,197,"2012-09-03 sutartis Nr. A62-79 (3.10.21-FN4) UAB ""Baltic Security Systems""",2994.75,Justiniškių bendruomenės centro signalizacijos sistemos montavimas,"UAB ""G4s Lietuva"", UAB ""Apsaugos komanda"", UAB ""Baltic Security Systems"""
Justiniškių seniūnija,BVPŽ kodas 44221000-5,198,"2012-09-06 sutartis Nr. A62-94 (3.10.21-FN4) UAB ""B&W Systems""",8808.87,Justiniškių bendruomenės centro langų ir durų įsigijimo bei montavimo darbai,"UAB ""TIKS langai"", UAB ""Gelanga Vilnius"", UAB ""B&W Systems"""
Justiniškių seniūnija,BVPŽ kodas 45453100-8,199,"2012-09-03 sutartis Nr. A62-75 (3.10.21-FN4) UAB ""StatVilsta""",19602,Justiniškių bendruomenės centro remonto darbai,"UAB ""Tinkuva"", UAB ""Tavastis"", UAB ""StatVilsta"""
Justiniškių seniūnija,BVPŽ kodas 45236290-9,200,"2012-09-03 sutartis Nr. A62-73 (3.10.21-FN4) UAB ""StatVilsta""",16940,Suoliukų remontas,"UAB ""Ekolitas"", UAB ""Rugosa"", UAB ""StatVilsta"""
Justiniškių seniūnija,BVPŽ kodas 45420000-7,201,"2012-09-03 sutartis Nr. A62-74 (3.10.21-FN4) UAB Paslaugų krptys""",2800,Rinkiminių apylinkių parengimas Lietuvos Respublikos Seimo rinkimams,"UAB ""Tinkuva"", UAB ""Samuolis"", UAB ""Paslaugų kryptys"""
Viršuliškių seniūnija,BVPŽ kodas 39515400-9,202,"2012-08-31 PVM sąskaita faktūra Nr. ROL 119 UAB ""Euroletai""",604.8,Viršuliškių bendruomenės centro aprūpinimas žaliuzėmis,"UAB ""Euroletai"", V. Stropaus firma ""Lauresta"", UAB ""Migliukas"", UAB ""Dextera"""
Viršuliškių seniūnija,BVPŽ kodas 45236119-7,203,"2012-09-03 sutartis Nr. A62-82 (3.10.21-FN4) UAB ""StatVilsta""",19196.65,Sporto aikštelių inventoriaus remonto  darbai,"UAB ""Tavastis"", UAB ""StatVilsta"" UAB ""Rugosa"""
Viršuliškių seniūnija,BVPŽ kodas 45236290-9,204,2012-09-03 sutartis Nr. A62-72 (3.10.21-FN4) IĮ E. Michnevič,19692.75,Sporto aikštelių dangos remonto darbai,"IĮ E.Michnevič, UAB ""Volmira"", UAB ""Narco statyba"""
Viršuliškių seniūnija,BVPŽ kodas 45236290-9,205,"201-09-03 sutartis Nr. A62-80 (3.10.21-FN4) UAB ""StatVilsta""",10224.5,Suoliukų ir metalinių kuoliukų remontas,"UAB ""Samuolis"", UAB ""Rugosa"", UAB ""StatVilsta"""
Viršuliškių seniūnija,BVPŽ kodas 30213300-8,206,"2012-08-22 PVM sąskaita faktūra Nr. V00091 UAB ""IT Gama""",5396.6,Viršuliškių bendruomenės centro aprūpinimas kompiuteriais,"UAB ""IT Gama"", UAB ""Varle"", UAB ""Prime IT Solutions"""
Viršuliškių seniūnija,BVPŽ kodas 45420000-7,207,"2012-09-03 sutartis Nr. A62-81 (3.10.21-FN4) UAB ""Paslaugų kryptys""",2300,Rinkiminių apylinkių parengimas Lietuvos Respublikos Seimo rinkimams,"UAB ""Tinkuva"", UAB ""Samuolis"", UAB ""Paslaugų kryptys"""
Viršuliškių seniūnija,BVPŽ kodas 39100000-3,208,"2012-10-11 PVM sąskaita faktūra Nr. KED 0240 UAB ""Kėdė.lt""",1082.95,Kompiuteriniai stalai su kėdėmis,"UAB ""Gardelė"", UAB ""Kėdė"", UAB ""Paliūčio baldai"""
Justiniškių seniūnija,BVPŽ kodas 39100000-3,209,"NEĮVYKO, IŠSKIRTAS Į 247 ir 251",,Justiniškių bendruomenės centro baldų įsigijimas,
Grigiškių seniūnija,BVPŽ kodas 45212221-1,210,Pirkimas nebus vykdomas. Gautas tarnybinis pranešimas,,"Tinklinio aikštelės įrengimas Vokės upės pakrantėje, ties Šviesos g. pabaigoje esančiu transporto žiedu",
Grigiškių seniūnija,BVPŽ kodas 30213100-6,211,"2012-09-12 sutartis Nr. A68-24 (3.10.23-FN4) UAB ""Adoria IT""",2482.92,Nešiojamas kompiuteris VŠĮ „Grijos vaikai“,"UAB ""Adoria IT"", UAB ""MODIUS"", UAB ""Deftools"", UAB ""SKYTECH.LT"", UAB ""Komparsa"""
Grigiškių seniūnija,BVPŽ kodas 45233200-1,212,"2012-09-04 sutartis Nr. A62-86 (3.10.21-FN4) UAB ""Refakta""",13939.2,"Asfalto dangos  remontas ties Grigiškių vidurine mokykla, Kovo 11-osios g. 21","UAB ""Keldarista"", UAB ""Grinda"", UAB ""Gatvių statyba"", UAB ""Kerista"", UAB ""Refakta"""
Grigiškių seniūnija,BVPŽ kodas 45316110-9,213,Pirkimas nebus vykdomas. Gautas tarnybinis pranešimas,,Gatvių apšvietimo įrengimas teritorijoje tarp Grigiškių parapijos namų  ir Vilniaus g. 57 namo,
Grigiškių seniūnija,BVPŽ kodas 45233200-1,214,"2012-09-05 sutartis Nr. A62-93 (3.10.21-FN4) UAB ""Refakta""",2964.62,"Žalvarnių, Neravų, Spyglių, Tilvikų, Projektavimo, Miško gatvių žvyro dangos remontas, užpilant duobes skalda ir žvyru","UAB ""Keldarista"", UAB ""Grinda"", UAB ""Gatvių statyba"", UAB ""Kerista"", UAB ""Refakta"""
Grigiškių seniūnija,BVPŽ kodas 34150000-3,215,BUVO ĮVYKDYTAS CENTRALIZUOTAI,,"Sporto aikštelės įrengimas (skersiniai prisitraukimams, kitiems pratimams) tarp Lentvario g. 2 ir Lentvario g. 2A",
Panerių seniūnija,BVPŽ kodas 45233200-1,216,"2012-08-21 sutartis Nr. A62-65 (3.10.21-FN4) UAB ""Vokės technika""","19 999,99","Takų ir kitų kietų dangų, šaligatvių, trinkelių įrengimo, remonto darbai. Teritorijos tvarkymas, priežiūra ir atnaujinimas","UAB ""Gevalda"", UAB ""Megadonas"", UAB ""Vokės technika"""
Panerių seniūnija,BVPŽ kodas 45236290-9,217,"2012-08-21 sutartis Nr. A62-66 (3.10.21-FN4) UAB ""Vokės technika""","19 999,99","Gyventojų laisvalaikio, rekreacinių zonų tvarkymo priežiūros ir atnaujinimo darbai","UAB ""Gevalda"", UAB ""Megadonas"", UAB ""Vokės technika"""
Žirmūnų seniūnija,BVPŽ kodas 45420000-7,218,"2012-09-24 sutartis Nr. A62-109(3.10.21-FN4) UAB ""Rudmė""",7367.69,Rinkimų apylinkių įrengimas,"UAB ""Master Beton"", UAB ""Rudmė"", UAB ""Tavo aplinkos vizija"""
Karoliniškių seniūnija,BVPŽ kodas 37311100-2,219,"2012-09-27 sutartis Nr. A68-26 (3.10.23-FN4) UAB ""Pianola ir Ko""",9500,Pianinas,"UAB ""Pianola ir Ko"", UAB ""Tamsta"", UAB ""Organum"", UAB ""Muzikos faktorius"""
Karoliniškių seniūnija,20 paslaugų kategorija BVPŽ kodas 63500000-4,220,"2012-10-08 sutartis Nr. A62-133 (3.10.21-FN4) UAB ""Kelionių laikas""",4950,"Bendruomenės kolektyvų išvykų-susitikimų su kitų miestų bendruomenėmis, kultūrinių istorinių vietų lankymo organizavimas","UAB ""Kelionių laikas"", Karoliniškių bendruomenė, VšĮ ""Lilibra"", VšĮ ""Diskomas"", VšĮ ""Ketvirta versija"""
Karoliniškių seniūnija,BVPŽ kodas 45236290-9,221,"2012-09-27 sutartis Nr. A62-122 (3.10.21-FN4) UAB ""Stebulė""",19975.59,"Poilsio zonų remontas, skverų atnaujinimas","UAB ""Trajana"", UAB ""Genflora"", UAB ""Stebulė"", UAB ""Soltra"", UAB ""Metalo sprendimai"""
Pašilaičių seniūnija,BVPŽ kodas 45236290-9,222,"2012-09-05 sutartis Nr. A62-92 (3.10.21-FN4) UAB ""Kerista""",16000,"Dangų atstatymo, šaligatvių, laiptų remonto darbai","UAB ""Grinda"", UAB ""Kerista"", UAB ""Pažangi statyba"", UAB ""Ismonys"""
Pašilaičių seniūnija,BVPŽ kodas 45236119-7,223,"2012-09-05 sutartis Nr. A62-89 (3.10.21-FN4) UAB ""Ismonys""",16635.76,Sporto aikštelių ir suoliukų remonto darbai,"UAB ""Pažangi statyba"", UAB ""Domipa"", UAB ""Daila"", UAB ""Aukštinė"", UAB ""Ismonys"""
Pašilaičių seniūnija,BVPŽ kodas 37310000-4,224,"2012-08-20 PVM sąskaita faktūra Nr. TER12-016 UAB ""Terra Musica""",9150,Muzikinių instrumentų ir priemonių įsigijimas,"UAB ""Muzikos faktorius"", UAB ""Tamsta"", UAB ""Terra musica"""
Pašilaičių seniūnija,BVPŽ kodas 45236290-9,225,"2012-09-05 sutartis Nr. A62-88 (3.10.21-FN4) UAB ""Pažangi statyba""",10000,"Suoliukų, šiukšliadėžių įrengimas (laisvalaikio zonos Pašilaičių parke Gabijos miškelyje, Laisvės pr. miškelyje)","UAB ""Pažangi statyba"", UAB ""Domipa"", UAB ""Daila"", UAB ""Aukštinė"", UAB ""Ismonys"""
Pašilaičių seniūnija,BVPŽ kodas 45112700-2,226,"2012-09-0 sutartis Nr. A62-91 (3.10.21-FN4) UAB ""Ismonys""",16200,"Kraštovaizdžio darbai (želdinių, skverų, takų atnaujinimo darbai)","UAB ""Pažangi statyba"", UAB ""Domipa"", UAB ""Daila"", UAB ""Aukštinė"", UAB ""Ismonys"""
Pašilaičių seniūnija,BVPŽ kodas 45212100-7,227,"2012-09-05 sutartis Nr. A62-90 (3.10.21-FN4) UAB ""Pažangi statyba""",19999.99,Aikštelių su laisvalaikio ir sporto elementais statybos darbai,"UAB ""Pažangi statyba"", UAB ""Domipa"", UAB ""Daila"", UAB ""Aukštinė"", UAB ""Ismonys"""
Pašilaičių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,228,"2012-10-11 sutartis Nr. A64-155 (3.10.22-FN4) VšĮ ""Herkulis""",3000,Sporto ir rekreacinės zonos atidarymo šventės organizavimas,"VšĮ ""Herkulis"", UAB ""Medusa Concert"", UAB ""Vėjų fėja"""
Pašilaičių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,229,"2012-11-08 sutartis Nr. A64-169 (3.10.22-FN4) UAB ""Vėjų Fėja""",4900,Kūrybinės popietės senjorams ir neįg. klubo nariams užsiėmimų organizavimas,"VšĮ ""Herkulis"", UAB ""Vėjų fėja"", UAB ""Medusa Concert"""
Šnipiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92000000-1,230,2012-08-29 sutarties Nr. A64-136 (3.10.22-FN4) VšĮ Vilniaus puodžių centras,"7,000.00",Keramikų dienos Šnipiškėse,"VšĮ Vilniaus puodžių cechas, UAB ""Meno pieva"", UAB ""Menų kalvė"""
Šnipiškių seniūnija,20 paslaugų kategorija BVPŽ kodas 63500000-4,231,"2012-09-05 sutartis Nr. A64-140 (3.10.22-FN4) UAB ""Keliautojų klubas""",6970,Kelionė po Lietuvą socialiai remtinų šeimų vaikams,"UAB ""Keliautojų klubas"", UAB ""Kiveda"", UAB ""Benelituras"""
Šnipiškių seniūnija,BVPŽ kodas 37400000-2,232,"2012-09-10 PVM sąskaita faktūra Nr. SMS 1062 UAB ""Sportas ir mada""",5185,Sporto prekių ir reikmenų įsigijimas,"UAB ""Sportas ir mada"", A. Ambrazienės įmonė, UAB ""Turto prekyba"""
Šnipiškių seniūnija,BVPŽ kodas 45420000-7,233,"2012-10-04 sutartis Nr. A62-130 (3.10.21-FN4) UAB ""Balseta""",1883.87,Šnipiškių seniūnijos keturių rinkimų apylinkių įrengimas,"UAB ""Balseta"", UAB ""Rosleta"", UAB ""Argentum porto"""
Šnipiškių seniūnija,BVPŽ kodas 32342410-9,234,"2012-09-07 PVM sąskaita faktūra Nr. MVA 2480 UAB ""Milgreta""",6083.13,Garso aparatūros įsigijimas,"UAB ""Milgreta"", UAB ""Tamsta"", UAB ""Muzikos faktorius"", Ž. Barono IĮ, UAB ""Megatonas"""
Šnipiškių seniūnija,BVPŽ kodas 38651400-7,235,"2012-10-02 PVM sąskaita faktūra Nr. PRD 0003768 UAB ""Prodevia""",1499.00,Fotoaparato įsigijimas,"UAB ""Prodevia"", UAB ""Saugūs duomenys"", UAB ""softekas"""
Naujamiesčio seniūnija,27 paslaugų kategorija BVPŽ kodas 98334000-3,236,"2012-08-22 sutartis Nr. A64-127(3.10.22-FN4) Laisvosios nardymo ir povandeninės žūklės asociacija ""Vienu įkvėpimu)",8 990,Naujamiesčio bendruomenės žmonių sveikatingumo paslaugos,"Laisvosios nardymo ir povandeninės žūklės asociacija ""Vienu įkvėpimu"", UAB ""DIVER.LT"", Povandeninės medžioklės klubas ""Nasrai"""
Šeškinės seniūnija,BVPŽ kodas 45421000-4,237,"2012-09-25 sutartis Nr. A62-118 (3.10.21-FN4) UAB ""Stebulė""",3679.61,"Rinkimų apylinkių įrangos montavimas, remontas, išmontavimas","UAB ""Trajana"", UAB ""Vilniaus zunda"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45420000-7,238,"2012-09-04 sutartis Nr. A62-84(3.10.21-FN4) UAB ""Naujininkų ūkis""",5200,Rinkimų apylinkių įrengimas,"UAB ""Naujininkų ūkis"", UAB ""Naujamiesčio bustas"", UAB ""Atira"""
Vilkpėdės seniūnija,20 paslaugų kategorija BVPŽ kodas 63511000-4,239,"2012-10-17 sutartis Nr. A64-162 (3.10.22-FN4) UAB ""Ancilius""",8984,Edukacinės išvykos organizavimas,"UAB ""Baltic tours Vilnius"", UAB ""Ancilius"", UAB ""Algimanto autobusai"""
Vilkpėdės seniūnija,BVPŽ kodas 45421000-4,240,"2012-10-03 sutartis Nr. A62-128 (3.10.21-FN4) UAB ""Medlain""","2791,55",Rinkimų apylinkių paruošimas ,"UAB ""Medlain"", UAB ""Mažoji architektūra"", UAB ""Grupsta"""
Karoliniškių seniūnija,BVPŽ kodas 45420000-7,241,"2012-09-27 sutartis Nr. A62-123 (3.10.21-FN4) UAB ""Trajana""","4,160.00",Rinkimų apylinkių įrengimo darbai,"UAB ""Medvilga"", UAB ""Stebulė"", UAB ""Trajana"", UAB ""Metalo sprendimai"", UAB ""Gerbūvio darbai"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45262640-9,242,2013-01-18 sutartis Nr. A62-1 (3.10.21-UK) VšĮ Vizualinių komunikacijų studija,70000,"Keleivinio transporto stotelėse suolų įrengimo, išmontavimo ir suolų medinės dalies pakeitimo darbai","UAB ""Zona Optima"", VšĮ ""Vizualinių komunikacijų studija"", "
E. miesto departamentas,27 palaugų kategorija BVPŽ kodas 79952000-2,243,NEVYKDĖ,,Idėjų kambario renginių organizavimo ir aptarnavimo pirkimas,
Saugaus miesto departamentas,BVPŽ kodas 38110000-9,244,"2012-12-28 sutartis Nr. A68-53 (3.10.23-SM) UAB ""Biznio mašinų kompanija""",10000,Navigacijos prietaisai,"UAB ""Biznio mašinų kompanija"", UAB ""Mokslo technologijos"", Vaidoto Dilio IĮ ""Gencijonas"""
Saugaus miesto departamentas,BVPŽ kodas 32333200-8,245,"2012-12-21 PVM sąskaita faktūra Nr. 12TC05300771 UAB ""TC Prekyba""",6454,Videokameros,"UAB ""Avitelos prekyba"", UAB ""TC prekyba"", UAB ""Ogmina"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 8052200-9,246,"2012-09-06 PVM sąskaita faktūra Nr. AG1219 UAB ""AVGO Group""",350,Geras projektas. Paraiškų pildymo ypatumai.,"UAB ""Avgo group"""
Justiniškių seniūnija,BVPŽ kodas 39112000-0,247,"2012-09-20 PVM sąskaita faktūra Nr. JO 00249 IĮ ""Jomanta""",3018.95,Justiniškių bendruomenės centro kėdžių ir minkštasuolių įsigijimas,"UAB ""AEKAS"", IĮ ""Jomanta"", UAB ""Ego Bonus"""
Grigiškių seniūnija,BVPŽ kodas 45316110-9,248,"2012-10-01 sutartis Nr. 62-125 (3.10.21-FN4) UAB ""Lentvario komunalinis ūkis""",6998.84,Gatvių apšvietimo įrengimas teritorijoje tarp Grigiškių parapijos namų  ir Vilniaus g. 57 namo,"UAB ""Lentvario komunalinis ūkis"", UAB ""Elektrėnų švara"", UAB ""Almode"", UAB ""Sanginas"", UAB ""Statybų šalis:"
Rasų seniūnija,BVPŽ kodas 45420000-7,249,"2012-10-09 sutartis Nr. A62-135 (3.10.21-FN4) UAB ""StatVilsta""",1299.54,"Rinkimų apylinkių paruošimas: inventoriaus remonto, sumontavimo, demontavimo darbai","UAB ""Statvilsta"", UAB ""Tavastis"", UAB ""Tinkuva"""
Grigiškių seniūnija,BVPŽ kodas 45420000-7,250,"2012-10-01 sutartis Nr. A62-124 (3.10.21-FN4) UAB ""Gedulis""",1208,Rinkimų apylinkių įrengimas,"UAB ""Stebulė"", UAB ""Gedulis"", UAB ""Elektrėnų švara"", UAB ""Lentvario komunalinis ūkis"", UAB ""Naujininkų ūkis"""
Justiniškių seniūnija,BVPŽ kodas 39100000-3,251,"2012-11-13 PVM sąskaita faktūra Nr. FS 0419 UAB ""Form System""",9964.23,Justiniškių bendruomenės centro spintų ir stalų įsigijimas,"UAB ""Form System"", UAB ""Paliūčio baldai"", UAB ""Gardelė"""
Viršuliškių seniūnija,BVPŽ kodas 45261910-6,252,"2012-09-10 PVM sąskaita faktūra Nr. EKO 1254 UAB ""Ekolitas""",6331.93,Viršuliškių seniūnijos stogo remonto darbai,"UAB ""Vilbosta"", UAB ""Samolis"", UAB ""Ekolitas"""
Senamiesčio seniūnija,BVPŽ kodas 45420000-7,253,"2012-09-27 sutartis Nr. A62-120 (3.10.21-FN4) UAB ""Senamiesčio ūkis""",3087.92,Rinkimų apylinkių įrengimas,"UAB ""Senamiesčio ūkis"", UAB ""Naujininkų ūkis"", UAB ""Rasų valda"""
E. miesto departamentas,5 paslaugų kategorija BVPŽ kodas 64200000-8,254-1,"2012-10-16 sutartis Nr. A64-158 (3.10.22-FN4) UAB ""CSC Telecom""",6011.28,"Trumpo numerio paslauga. Įeinantys skambučiai trumpuoju numeriu 1664 iš UAB ""CSC telecom"" tinklo nukreipti į numerį (8 5) 211 2000","UAB ""CSC Telecom"""
E. miesto departamentas,5 paslaugų kategorija BVPŽ kodas 64200000-8,254-2,"2012-10-16 sutartis Nr. A64-161 (3.10.22-FN4) UAB ""Omnitel""",6152.52,"Trumpo numerio paslauga. Įeinantys skambučiai trumpuoju numeriu 1664 iš UAB ""Omnitel"" tinklo nukreipti į numerį (8 5) 211 2000","UAB ""Omnitel"""
