Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.", Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Šnipiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92000000-1,171,2013-09-09 sutartis Nr. A64-106(3.10.22-FN4) VšĮ Vilniaus puodžių cechas,"  6,980.00 Lt ",Keramikų dienos Šnipiškėse,"VšĮ ""Vilniaus puodžių cechas"", UAB ""Menų kalvė"", UAB ""Meno pieva"""
Šnipiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92000000-1,172,2013-09-24 sutartis Nr. A64-116(3.10.22-FN4) Asociacija Šnipiškių bendruomenės centras,"  5,950.00 Lt ","Švenės ""Mūsų Šnipiškės"" organizavimas","Asociacija ""Šnipiškių bendruomenės centras"", Asociacija ""Šnipiškiečių namai"", VšĮ ""Laimikis.lt"""
Grigiškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952100-3,173,"2013-09-04 sutartis Nr. A64-103(3.10.22-FN4) VšĮ ""Muzikos turo pramogos""","  10,000.00 Lt ",Rudens šventės - Europos gatvės mugės Grigiškėse organizavimas,"UAB ""Ogmios pulsas pro"", VšĮ Muzikos turo pramogos, UAB ""Mart pro"""
Pilaitės seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,174,"2013-09-19 sutartis Nr. A64-114(3.10.22-FN4) VšĮ ""Beepart kūrybinės dirbtuvės""","  9,896.00 Lt ",Su renginiais susijusios paslaugos,"UAB ""Kestleta"", VšĮ ""Beepart kūrybinės dirbtuvės"", UAB ""ekspobalta"""
Pašilaičių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952100-3,175,"2013-10-25 sutartis Nr. A64-130(3.10.22-FN4) VšĮ ""Herkulis""","  6,900.00 Lt ",Kalėdinės šventės organizavimas Pašilaičių bendruomenei ir Pašilaičių seniūnijos socialiai remtiniems vaikams,"UAB ""Medusa Concert"", UAB ""Vėjų fėja"", VšĮ ""Herkulis"""
Vilkpėdės seniūnija,BVPŽ kodas 22120000-7,176,"2013--10-02 PVM s1skaita fakt8ra Nr. SS00460 VšĮ ""Sorre""","  7,750.00 Lt ",Leidiniai,"UAB ""Vilniaus skaitmeninė spauda"", UAB ""Vaibra"", VšĮ ""Sorre"""
Vilkpėdės seniūnija,20 paslaugų kategorija BVPŽ kodas 63000000-9,177,"2013-09-16 sutartis Nr. A64-108(3.10.22-FN4) UAB ""Ancilius""","  9,980.00 Lt ",Papildomos ir pagalbinės transporto paslaugos; kelionių agentūrų paslaugos,"UAB ""Baltic tours Vilnius"", UAB ""Ancilius"", UAB ""Algimanto autobusai"""
Fabijoniškių seniūnija,BVPŽ kodas 45236290-9,178,"2013-08-19 sutartis Nr. A62-42 (3.10.21-FN4) UAB ""Stebulė""","  19,998.88 Lt ",Poilsio zonų remonto darbai,"UAB ""Stebulė"", UAB ""Trajana"", UAB ""Gerbūvio darbai|"
Fabijoniškių seniūnija,BVPŽ kodas 45262700-8,179,"2013-08-19 sutartis Nr. A62-43 (3.10.21-FN4) UAB ""Asvalda""","  19,968.05 Lt ",Fabijoniškių bendruomenės patalpų remontas ir pertvarkymas,"UAB ""Fabeta"", UAB ""Kernavės būstas"", UAB ""Asvalda"""
Fabijoniškių seniūnija,BVPŽ kodas 45421000-4,180,"2013-08-19 sutartis Nr. A62-41(3.10.21-FN4) UAB ""Srėdė ir ko""","  9,912.32 Lt ",Skelbimo stendų pagaminimas Fabijoniškių seniūnijos seniūnaitijoms,"UAB ""Sigvalda"", UAB ""Vilniaus Zunda"", UAB ""Srėdė"" ir Ko"
Fabijoniškių seniūnija,BVPŽ kodas 37400000-2,181,"2013-12-09 PVM sąskaita faktūra Nr. KER2013/12.09 UAB ""Kernavės būstas""","  9,879.65 Lt ",Sporto inventoriaus 5sigijimas bendruomenei,"UAB ""Kernavės būstas"", UAB ""Tikena"", UAB ""Asvalda"""
Fabijoniškių seniūnija,BVPŽ kodas 32342300-5,182,"2013-12-10 PVM sąskaita faktūra Nr. ASI20132707 UAB ""Tamsta""","  9,990.00 Lt ",Įgarsinimo aparatūros įsigijimas bendruomenės reikmėms,"UAB ""Tamsta"", VšĮ ""Mes-jėga"", UAB ""Ogmios pulsas pro"""
Fabijoniškių seniūnija,BVPŽ kodas 34430000-0,183,2013-12-09 PVM sąskaita faktūra Nr. 13A-023 Adamonio privati firma,"  8,880.00 Lt ",Dviračių įsigijimas bendruomenės reikmėms,"UAB ""Kernavės būstas"", Adamonio privati firma, UAB ""Bunata"""
Fabijoniškių seniūnija,BVPŽ kodas 32321200-1,184,"2013-12-17 PVM sąskaita faktūra Nr. BUT12-02 UAB ""Bunata""","  9,957.00 Lt ",Audio ir video įrangos įsigijimas bendruomenės reikmėms,"UAB ""Bunata"", UAB ""Ogmina"", UAB ""Avitelos prekyba"""
Fabijoniškių seniūnija,BVPŽ kodas 39700000-9,185,"2013-12-18 PVM sąskaita faktūra Nr. KER2013/12.18 UAB ""Kernavės būstas""","  9,844.56 Lt ",Buitinės technikos įsigijimas bendruomenei,"UAB ""Kernavės būstas"", UAB ""Tikena"", UAB ""Bunata"""
Fabijoniškių seniūnija,BVPŽ kodas 30200000-1,186,"2013-12-17 PVM sąskaita faktūra Nr. BUT12-01 UAB ""Bunata""","  9,910.00 Lt ",Biuro ir kitos kompiuterinės įrengos įsigijimas bendruomenės reikmėms,"UAB ""Bunata"", UAB ""Ogmina"", UAB ""Avitelos prekyba"""
Fabijoniškių seniūnija,BVPŽ kodas 39522530-1,187,"2013.12.10 PVM sąskaita faktūra Nr. KER2013/12.10 UAB ""Kernavės būstas""","  2,904.00 Lt ",Palapinės įsigijimas bendruomenės reikmėms,"UAB ""Kernavės bustas"", UAB ""Tikena"", UAB ""Asvalda"""
Fabijoniškių seniūnija,BVPŽ kodas 39100000-3,188,"2013-12-03 PVM sąskaita faktūra Nr. T2013/12/03 UAB ""Tikena""","  9,860.00 Lt ",Sudedamų lauko baldų įsigijimas bendruomenės reikmėms,"UAB ""Kernavės bustas"", UAB ""Tikena"", UAB ""Asvalda"""
Fabijoniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,189,"2013-11-22 sutartis Nr. A64-146(3.10.22-FN4) VšĮ ""Mes-jėga""","  9,900.00 Lt ",Kalėdinio renginio techninis aprūpinimas ir įgarsinimas,"VšĮ ""Mes-jėga"", UAB ""Srėdė"" ir ko, UAB ""Tamsta"""
Vilkpėdės seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,190,2013-12-05 sutartis Nr. A64-151(3.10.22-FN4) VšĮ Vilkpėdės bendruomenės socialinių paslaugų centras,"  9,784.00 Lt ",Su renginiais susijusios paslaugos,"VšĮ Vilkpėdės bendruomenės socialinių paslaugų centras"", VšĮ Vilniaus ir Alytaus regionų aklųjų centras, Lietuvos aklųjų biblioteka"
Vilkpėdės seniūnija,BVPŽ kodas 45314300-4,191,"2013-09-16 sutartis Nr. A62-55(3.10.21-FN4) UAB ""Saugos garantas""","  19,908.13 Lt ",Kabelių infrastruktūros įrengimas,"UAB ""Saugos garantas"", I. Lukovskio įmonė ""Lukarta"", UAB ""Varža"""
Vilkpėdės seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,192,2013-09-16 sutartis Nr. A64-109(3.10.22-FN4) VšĮ Vilkpėdės bendruomenės socialinių paslaugų centras,"  9,688.00 Lt ",Pramoginės paslaugos,"VšĮ Vilkpėdės bendruomenės socialinių paslaugų centras"", VšĮ Vilniaus ir Alytaus regionų aklųjų centras, Koncertinė įstaiga valstybinis choras ""Vilnius"""
E. miesto departamentas,13 paslaugų kategorija BVPŽ kodas 79341000-6,193/194,"2013-08-22 sutartis Nr. A64-95(3.10.22-FN4) UAB ""Wrks""","  9,800.40 Lt ",Reklaminis klipas,"UAB ""Wrks"", UAB ""New agency"", UAB ""The Magic"""
Eismo organizavimo skyrius,BVPŽ kodas 45316110-9,195,sutartis nepasirašyta,,Vanaginės Sodų 2-oji gatvė,"UAB ""Vilniaus gatvių apšvietimo elektros tinklai"", UAB ""ATEA"", UAB ""Elmova"""
Eismo organizavimo skyrius,BVPŽ kodas 45316110-9,196,"2013-11-04 sutartis Nr. A62-87(3.10.21-UK) sodininkų bendrija ""Aušra""","  132,990.50 Lt ","Visorių Sodų 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 g. apšvietimas","UAB ""Vilniaus gatvių apšvietimo elektros tinklai"", UAB ""ATEA"""
Eismo organizavimo skyrius,BVPŽ kodas 45316110-9,197,"2013-11-05 sutartis Nr. A62-90(3.10.21-UK) UAB ""ATEA""","  33,550.58 Lt ","Rudausių Sodų 11-osios, Rudausių Sodų 12-osios, Rudausių Sodų 13-osios gatvių apšvietimo tinklo įrengimas","UAB ""Vilniaus gatvių apšvietimo elektros tinklai"", UAB ""ATEA"""
Eismo organizavimo skyrius,BVPŽ kodas 45316110-9,198,"2013-11-06 sutartis Nr. A62-91(3.10.21-UK) UAB ""Elmova""","  137,500.00 Lt ","Kalėnų, Gurių sodai, Gurių sodų 10-osios, Gurių Sodų 11-osios, Gurių Sodų 12-osios, Gurių Sodų 14-osios gatvių apšvietimo elektros tinklų įrengimas","UAB ""Elmova"", UAB ""Vilniaus gatvių apšvietimo elektros tinklai"", UAB ""ATEA"", UAB ""Elektros tinklo paslaugos"""
Eismo organizavimo skyrius,BVPŽ kodas 45316110-9,199,"2013-11-05 sutartis Nr. A62-89(3.10.21-UK) UAB ""Elektros tinklo paslaugos""","  26,569.16 Lt ",Eišiškių Sodų 3-osios ir 6-osios gatvių apšvietimas,"UAB ""Vilniaus gatvių apšvietimo elektroas tinklai"", UAB ""Elektros tinklo paslaugos"", UAB ""ATEA"""
Viešųjų ryšių skyrius,13 paslaugų kategorija BVPŽ kodas 79340000-9,200,"2013-08-07 PVM sąskaita faktūra Nr. 0103 UAB ""Lukrecijos reklama""","  9,498.50 Lt ",Reklamos ir rinkodaros paslaugos,"VšĮ ""Demokratinių iniciatyvų centras"", UAB ""Lukrecija BBDO"", UAB ""Alora"""
Šeškinės seniūnija,20 paslaugų kategorija BVPŽ kodas 63000000-9,201,2013-10-02 sutartis Nr. A64-120(3.10.22-FN4) Rolando Vilko IĮ,"  3,999.99 Lt ","Papildomos ir pagalbinės transporto paslaugos, kelionių agentūrų paslaugos Neįgaliųjų draugijos Šeškinės skyriui","IĮ ""Aitsana"", Rolando Vilko IĮ, UAB ""Toks"""
Šeškinės seniūnija,20 paslaugų kategorija BVPŽ kodas 63000000-9,202,2013-10-02 sutartis Nr. A64-122(3.10.22-FN4) Rolando Vilko IĮ,"  1,600.00 Lt ","Papildomos ir pagalbinės transporto paslaugos, kelionių agentūrų paslaugos J. Matulaičio šeimos pagalbos centrui","IĮ ""Aitsana"", Rolando Vilko IĮ, UAB ""Eurocabs"""
Šeškinės seniūnija,20 paslaugų kategorija BVPŽ kodas 63000000-9,203,"2013-09-02 sutartis Nr. A64-102(3.10.22-FN4) UAB ""Vilniaus vie6asis transportas""","  5,299.99 Lt ","Papildomos ir pagalbinės transporto paslaugos, kelionių agentūrų paslaugos Politinių kalinių-tremtinių Šeškinės skyriui","UAB ""Vilniaus viešasis transportas"", Rolando Vilko IĮ, UAB ""Toks"""
E. miesto departamentas,BVPŽ kodas 44423400-5,204,"2013-11-25 sutartis Nr. A68-57(3.10.23-EM) UAB ""Jugima""","  9,994.60 Lt ",Valstybiniai žemės ūkio technikos numeriai,"UAB ""Kelio ženklai"", UAB ""Jugima"", UAB ""Baltic sign"""
Šeškinės seniūnija,BVPŽ kodas 45262700-8,205,"2013-10-08 sutartis Nr. A62-67(3.10.21-FN4) UAB ""Šilėja""","  9,999.32 Lt ",Pastato pertvarkymo darbai,"UAB ""Šilėja"", UAB ""Degsnė"", UAB ""Verslo transformacija"""
Šeškinės seniūnija,BVPŽ kodas 39112000-0,206,"2013-11-14 sutartis Nr. A68-54(3.10.23-FN4) UAB ""Eigida""","  2,359.98 Lt ",Kėdės,"UAB ""AJ produktai"", UAB ""Eigida"", AB ""Delantera"""
Šeškinės seniūnija,BVPŽ kodas 39121200-8,207,"2013-11-13 sutartis Nr. A68-53(3.10.23-FN4) UAB ""Eigida""",  779.99 Lt ,Stalai,"UAB ""AJ produktai"", UAB ""Eigida"", AB ""Delantera"""
Šeškinės seniūnija,BVPŽ kodas 39713430-6,208,"2013-11-22 sutartis Nr. A68-55(3.10.23-FN4) UAB ""Prodevia""",  445.00 Lt ,Dulkių siurbliai,"UAB ""Mūsų prekyba"", UAB ""Prodevia"", UAB ""Softekas"""
Šeškinės seniūnija,BVPŽ kodas 37310000-4,209,"2013-11-22 sutartis Nr. A68-56(3.10.23-FN4) UAB ""Tamsta""",  460.00 Lt ,Muzikos instrumentai,"UAB ""Kauno muzika"", UAB ""Tamsta"", UAB ""Muzika visiems"""
Šeškinės seniūnija,1 paslaugų kategorija BVPŽ kodas 50800000-3,210,"2013-11-12 sutartis Nr. A64-141 (3.10.22-FN4) UAB ""Verslo transformacija""","  5,995.13 Lt ",Įvairios remonto ir priežiūros paslaugos,"UAB ""Šilėja"", UAB ""Fasadų apšiltinimo sistemos"", UAB ""Verslo transformacija"""
Šeškinės seniūnija,17 paslaugų kategorija BVPŽ kodas 55220000-8,211,"2013-08-30 sutartis Nr. A64*-100(3.10.22-FN4) ""UAB ""Romnesa""","  7,450.00 Lt ",Stovyklaviečių paslaugos,"Kaimo turizmo sodyba ""Ievalaukis"", UAB ""Romnesa"", UAB ""Degesa"""
Šeškinės seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,212,2013-11-08 sutartis Nr. A64-135(3.10.22-FN4) Gediminas Stakutis,  960.00 Lt ,Su renginiais susijusios paslaugos,"VšĮ ""Tvarios raidos inovacijų pilietinis forumas"", Aurelijus Gedvilas, Gediminas Stakutis"
Šeškinės seniūnija,20 paslaugų kategorija BVPŽ kodas 63000000-9,213,2013-10-02 sutartis Nr. A64-121(3.10.22-FN4) Rolando Vilko IĮ,"  7,500.00 Lt ","Transporto paslaugos Šeškinės ""Bočių"" ansambliui","IĮ ""Aitsana"", Rolando Vilko IĮ, UAB ""Toks"""
Šeškinės seniūnija,BVPŽ kodas 45236290-9,214,"2013-10-08 sutartis Nr. A62-68(3.10.21-FN4) UAB ""Verslo transformacijos""","  14,993.05 Lt ",Poilsio zonų remonto darbai,"UAB ""Šilėja"", UAB ""Degsnė"", UAB ""Verslo transformacija"""
Šeškinės seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,215,2013-11-08 sutartis Nr. A64-136(3.10.22-FN4) Gediminas Stakutis,"  9,950.00 Lt ",Su renginiais susijusios paslaugos,"VšĮ ""Tvarios raidos inovacijų pilietinis forumas"", Aurelijus Gedvilas, Gediminas Stakutis"
Fabijoniškių seniūnija,BVPŽ kodas 39100000-3,216,"2013-12-04 PVM sąskaita faktūra Nr. T2013/12/04 UAB ""Tikena""","  9,911.00 Lt ",Baldų pagaminimas bendruomenės reikmėms,"UAB ""Kernavės būstas"", UAB"" Tikena"", UAB ""Asvalda"""
Šeškinės seniūnija,BVPŽ kodas 30210000-4,217,2013-10-07 sutartis Nr. A68-48(3.10.23-FN4) UAB Novakopa,"  2,300.21 Lt ",Duomenų apdorojimo mašinos (techninė įranga) - projektorius,CPO
Grigiškių seniūnija,BVPŽ kodas 30213300-8,218,"2013-09-04 sutartis Nr. A68-33(3.10.23-FN4) UAB ""BAIP""","  2,969.34 Lt ",Stacionarus kompiuteris Grigiškių naįgaliųjų draugijai,CPO
Šeškinės seniūnija,BVPŽ kodas 30200000-1,219,2013-10-07 sutartis Nr. A68-47(3.10.23-FN4) UAB Baip                            2013-10-07 sutartis Nr. A68-46(3.10.23-FN4) UAB Novakopa,"  10,432.16 Lt ",Kompiuterinė įranga ir reikmenys:                             4 kompiuteriai;                  1 spausdintuvas.,CPO
Naujosios Vilnios seniūnija,BVPŽ kodas 45236119-7,220,"2013-10-15 sutartis Nr. 62-71(3.10.21-FN4) UAB ""Patikimas turtas""","  9,999.74 Lt ",Vaikų žaidimo aikštelės elementų montavimo darbai Vandens g. 9 teritorijoje,"UAB ""Remodus"", UAB ""Rumida"", UAB ""Patikimas turtas"""
Naujosios Vilnios seniūnija,BVPŽ kodas 45212140-9,221,"2013-09-25 sutartis Nr. A62-59(3.10.21-FN4) UAB ""Patikimas turtas""","  19,934.36 Lt ",Pavilnio seniūnaitijoje sportui skirtų treniruoklių pastatymas ir įrengimas,"UAB ""Remodus"", UAB ""Rumida"", UAB ""Patikimas turtas"""
Šeškinės seniūnija,BVPŽ kodas 45233200-1,222,"2013-10-08 sutartis Nr. A62-66(3.10.21-FN4) UAB ""Verslo transformacija""","  5,996.97 Lt ",Įvairūs dangos darbai,"UAB ""Šilėja"", UAB ""Degsnė"", UAB ""Verslo transformacija"""
Eismo organizavimo skyrius,BVPŽ kodas 45340000-2,223,Neįvyko,,"Iškiliųjų pėsčiųjų perėjų įrengimas, trapecinės formos iškilių kalnelių įrengimas","UAB ""Lemmininkainen Lietuva""; UAB ""Keldarista""; UAB ""Kerista"""
Viršuliškių seniūnija,BVPŽ kodas 42900000-5,224,2013-09-03 PVM sąskaita-faktūra Nr. 424/030913; WMT Baltic SIA,"  1,238.00 Lt ",Įvairios bendrosios ir specialiosios paskirties mašinos,"SIA ""WMT Baltic; UAB ""M&G reklamos gamyba studija"" (nepateikė pasiūlymo); UAB ""Baltic SMYK"""
Viršuliškių seniūnija,BVPŽ kodas 32300000-6,225,"2013-09-20 PVM sąskaita-faktūra Nr. V01302 UAB ""IT Gama""","  9,796.16 Lt ",Televizijos ir radijo imtuvai ir garso ar vaizdo įrašymo arba atkūrimo aparatai,"UAB ""IT Gama""; UAB ""Kilobaitas""; UAB ""Varlė"""
Viršuliškių seniūnija,7 paslaugų kategorija BVPŽ kodas 72420000-0,226,2013-12-03 PVM sąskaita-faktūra TEO60883872,  862.44 Lt ,Interneto plėtros paslaugos,"UAB ""Cgates""; UAB ""UAB ""Acta iuventus""; UAB ""TEO LT"""
Viršuliškių seniūnija,BVPŽ kodas 22120000-7,227,"2013.09.03 PVM sąskaita-faktūra Nr.AMSF93041444; UAB ""ALG knygynai""",  733.30 Lt ,Leidiniai,"UAB ""ALG knygynai""; UAB ""Vilniaus centrinis knygynas""; UAB ""Mintis"""
Viršuliškių seniūnija,BVPŽ kodas 33100000-1,228,"2013-09-05 PVM Sąskaita-faktūra Nr. INT13090294; UAB ""Interlux""","  3,035.89 Lt ",Medicinos įranga,"UAB ""Interlux""; UAB ""Medita""; UAB ""Medicinos projektai"""
Viršuliškių seniūnija,BVPŽ kodas 30192170-3,229,"2013-09-20 PVM sąskaita-faktūra Nr. BIO3421 UAB ""Biokryptis""","  2,341.35 Lt ",Skelbimų lentos,"UAB ""Biokryptis""; UAB Vizualiniai projektai"" (pasiūlmas nepateiktas); UAB ""Scriptum"""
Viršuliškių seniūnija,BVPŽ kodas 37423300-2,230,"2013-09-11 PVM sąskaita-faktūra Nr. MMM5723, UAB ""Montis magia""",  500.03 Lt ,Kopimo reikmenys,"UAB ""Montis magija""; UAB ""Junika""(pasiūlymas nepateiktas); V. Karlos įmonė ""Rovana""(pasiūlymas nepateiktas)"
Viršuliškių seniūnija,BVPŽ kodas 39130000-2,231,2013-10-10 PVM sąskaita-faktūra Nr. AKSF97030074,"  1,536.70 Lt ",Biuro baldai,"UAB ""Biuro gidas"" (nepateikė pasiūlymo); UAB Konferta"" (nepateikė pasiūlymo); UAB ""Alma littera sprendimai"""
Viršuliškių seniūnija,BVPŽ kodas 22200000-2,232,2013.11.25 PVM sąskaita-faktūra Nr.DPF14.1125; 2013.12.02 SF Nr. VIL0011567; 2013.12.16 Nr. VPZ000302,  823.00 Lt ,"Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai","Žurnalo valstybė redakcija;UAB ""Respublikos leidiniai""UAB ""Veido"" periodikos leidykla"
Viršuliškių seniūnija,BVPŽ kodas 34440000-3,233,"2013-09-04 Nr. SS03221800658, UAB ""Senukų prekybos centras""","  2,423.69 Lt ",Dviračiai,"UAB ""Senukų prekybos centras""; Parduotuvė ""Velovelo"" (pasiūlymas nepateiktas"";UAB ""Dvirida"" (pasiūlymas nepateiktas)"
Viršuliškių seniūnija,BVPŽ kodas 39516100-3,234,"2013-09-03 PVM sąskaita-faktūra Nr. LAU0006647, UAB Lauksva""","  1,518.00 Lt ",Minkštieji baldai,"UAB ""Vildika""; UAB ""Gardelė""; UAB Lauksva"""
Viršuliškių seniūnija,BVPŽ kodas 38651000-3,235,Neįvyko,,Fotoaparatai,
Šeškinės seniūnija,BVPŽ kodas 45212140-9,236,"2013-10-22 sutartis Nr. A62-80(3.10.21-FN4) UAB ""Stebulė""","  19,871.83 Lt ",Treniruoklių įrengimas prie esamų vaikų sporto ir žaidimų aikštelių,"UAB ""Stebulė"", UAB ""Mažoji restauracija"", UAB ""Metalo sprendimai"""
E. miesto departamentas,5 paslaugų kategorija BVPŽ kodas 64200000-8,237/1,"2013-10-15 sutartis Nr. A64-128(3.10.22-EM) UAB ""CSC Telecom""","  6,011.28 Lt ","Trumpo numerio paslauga. Įeinantys skambučiai trumpuoju numeriu 1664 iš UAB ""CSC telecom"" tinklo nukreipti į numerį (8 5) 211 2000","UAB ""CSC Telecom"""
E. miesto departamentas,5 paslaugų kategorija BVPŽ kodas 64200000-8,237/2,"2013-10-15 sutartis Nr. A64-127(3.10.22-EM) UAB ""Omnitel""","  6,152.52 Lt ","Trumpo numerio paslauga. Įeinantys skambučiai trumpuoju numeriu 1664 iš UAB ""Omnitel"" tinklo nukreipti į numerį (8 5) 211 2000","UAB ""Omnitel"""
E. miesto departamentas,5 paslaugų kategorija BVPŽ kodas 64200000-8,237/3,"2013-10-15 sutartis N4r. A64-126(3.10.22-EM) UAB ""Bitė Lietuva""","  6,000.00 Lt ","Trumpo numerio paslauga. Įeinantys skambučiai trumpuoju numeriu 1664 iš UAB ""Bitė"" tinklo nukreipti į numerį (8 5) 211 2000","UAB ""Bitė Lietuva"""
E. miesto departamentas,5 paslaugų kategorija BVPŽ kodas 64200000-8,237/4,"2013-10-15 sutartis Nr. A64-125(3.10.22-EM) TEO LT, AB","  3,040.63 Lt ",Trumpo numerio paslauga. Įeinantys skambučiai trumpuoju numeriu 1664 iš TEO LT AB tinklo nukreipti į numerį (8 5) 211 2000,"TEO LT, AB"
Justiniškių seniūnija,BVPŽ kodas 30195900-1,238,Neįvyko,,Magnetinės lentos,
Justiniškių seniūnija,BVPŽ kodas 32300000-6,239,Neįvyko,,Televizorius su antena,
Justiniškių seniūnija,BVPŽ kodas 32321200-1,240,"2013-12-05 PVM sąskaita-faktūra Nr. ADV130152 UAB ""Audiotonas""","  8,669.53 Lt ","Garso ir vaizdo aparatūra, su kuria galima vesti renginius","UAB ""Audiotonas"", UAB ""Bel canto"", UAB ""Muzika visiems"""
Justiniškių seniūnija,BVPŽ kodas 37524900-6,241,"2013-09-27 sąskaitos Nr. EV01345; UAB ""Euroatletas""","  1,232.00 Lt ",Žaidimų rinkiniai: šachmatai su lentomis ir laikrodžiai,"UAB ""Euroetletas""; UAB ""Sportland"" (pasiūlymas neatitinka kvietimui); UAB ""Sportturas"" (pasiūlymas nepateiktas)"
Justiniškių seniūnija,BVPŽ kodas 39130000-2,242,"2013.09.19 PVM Sąskaita-faktūra Nr. UPSF00000964; UAB ""Vildika""",  615.89 Lt ,Metalinė spinta dokumentams,"UAB ""Vildika""; UAB ""Gardelė""; UAB ""Taurakalnis"" (pasiūlymas nepateiktas)"
Justiniškių seniūnija,BVPŽ kodas 39121200-8,243,Neįvyko,,Stalai,
Justiniškių seniūnija,BVPŽ kodas 39515400-9,244,2013-10-11 Nr. RZ000131,"  1,310.00 Lt ",Žaliuzės,"UAB ""Domus lumina""; IĮ Roletas""; UAB ""Sostinės roletas"""
Justiniškių seniūnija,BVPŽ kodas 42512000-8,245,2013-12-30 PVM Sąskaita-faktūra Nr. VEX0000072,"  6,231.50 Lt ",Oro kondicionavimo įranga Justiniškių seniūnijoje,"UAB ""Vexoma""; UAB ""Hator""; UAB ""Vilpra"""
Justiniškių seniūnija,BVPŽ kodas 45212140-9,246,"2013-12-06 sutartis Nr. A62-102(3.10.21-FN4) UAB ""Kitoks požiūris""","  10,188.20 Lt ",Lauko treniruoklių įrengimas,"UAB ""Kitoks požiūris""; UAB ""Sveikata Tau""; UAB ""Patikimas turtas""; UAB ""Eurosportas LT"""
Justiniškių seniūnija,BVPŽ kodas 45212221-1,247,Neįvyko,,Paplūdimio tinklinio aikštelės įrengimas,
Justiniškių seniūnija,BVPŽ kodas 45261210-9,248,"2013-10-16 sutartis Nr. A62-75(3.10.21-FN4) UAB ""Janasta""","  7,600.00 Lt ",Stogo dengimo darbai,"UAB ""Omni grupė"", UAB ""Janasta"", UAB ""Vilstela"""
Justiniškių seniūnija,BVPŽ kodas 45236119-7,249,"2013-09-26 sutartis Nr. A62-61(3.10.21-FN4) UAB ""BSM LT""","  6,987.68 Lt ",Sporto aikštelių remonto darbai,"UAB ""BSM LT"", UAB ""Sporto fėja"", UAB ""POLIsportas"""
Justiniškių seniūnija,BVPŽ kodas 45236290-9,250,2013-09-26 sutartis Nr. A62-62(3.10.21-FN4) IĮ E. Michnevič,"  3,101.96 Lt ",Poilsio zonų remonto darbai,"UAB ""Baltijos prekyba"", UAB ""Inviktus"", IĮ E. Michnevič"
Karoliniškių seniūnija,BVPŽ kodas 30200000-1,251,"2013-12-11 PVM sąskaita faktūra Nr. AB00001919 UAB ""Novocore""","  1,997.13 Lt ",Kompiuterinė įranga bendruomenės reikmėms,"UAB ""Vilta"", UAB ""Orgsis"", UAB ""Novocore"""
Justiniškių seniūnija,BVPŽ kodas 45233200-1,253,2013-09-26 sutartis Nr. A62-60(3.10.21-FN4) IĮ E. Michnevič,"  19,998.88 Lt ",Įvairūs dangos darbai: amfiteatro sutvarkymas,"UAB ""Baltijos prekyba"", UAB ""Inviktus"", IĮ E. Michnevič"
Justiniškių seniūnija,BVPŽ kodas 45236290-9,252,"2013-10-16 sutartis Nr. A62-76(3.10.21-FN4) UAB ""Janasta""","  9,496.00 Lt ",Poilsio zonų remonto darbai: laiptų turėklų sutvarkymas,"UAB ""Omni grupė"", UAB ""Janasta"", UAB ""Vilstela"" (nepateikė pasiūlymo)"
Naujininkų seniūnija,BVPŽ kodas 32321200-1,254,"2013-11-25 PVM sąskaita faktūra Nr. EMJ0002046 UAB ""Kilobaitas""",  997.00 Lt ,Muzikinis centras,"UAB ""Kilobaitas"", UAB ""IT Gama"", UAB ""Varlė"""
Naujininkų seniūnija,BVPŽ kodas 32340000-8,255,"2013-11-25 PVM sąskaita faktūra Nr. EMJ0002048 UAB ""Kilobaitas""",  495.00 Lt ,Mikrofonas,"UAB ""Kilobaitas"", UAB ""IT Gama"", UAB ""Varlė"""
Naujininkų seniūnija,BVPŽ kodas 37311000-1,256,"2013-11-04 PVM sąskaita faktūra Nr. ASI20132352 UAB ""Tamsta""","  9,890.00 Lt ",Nešiojamas elektrinis klavišinis sceninis instrumentas su priedu,"UAB ""Vilgra"", UAB ""Tamsta"", UAB ""Kauno muzika"""
Naujininkų seniūnija,BVPŽ kodas 37311000-1,257,"2013-11-04 PVM sąskaita faktūra Nr. ASI20132353 UAB ""Tamsta""","  9,999.00 Lt ",Pianinas,"UAB ""Vilgara"", UAB ""Tamsta"", UAB ""Kauno muzika"""
